excuorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1455,2372,234,77&page=8;;※ excussorum
pretᷣmio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1193,2011,212,66&page=9;;※ pretermisso
ꝑitilimis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=798,1424,204,64&page=9; 1 ;※ peritissimis
wechmogα̨ceꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,841,353,70&page=9;;※ wssechmoga̷cego
wfechmogαceͦ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=389,2558,359,50&page=10;;※ wssechmoga̷cego
