B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
circũſ‍lec‍tit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1566,2077,275,72&page=2;;※ circumflectitur
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=916,2033,204,53&page=2;;※ aliquando
aliqnãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1300,2011,193,81&page=2;;※ aliquando
grauat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,2022,147,57&page=2;;※ grauatur
circũf‍lec‍tinr;file:Zaborowski_Polona.djvu?djvuopts=&highlight=543,1963,275,57&page=2;sic!;※ circumflectitur
quedã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1318,1958,150,66&page=2;;※ quedam
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1273,1902,84,68&page=2;;※ enim
cõpoſitione;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1589,1904,266,54&page=2;;※ compositione
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=948,1856,70,50&page=2;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1523,1843,59,56&page=2;; ※ et
produc‍tiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1584,1843,271,56&page=2;;※ productione
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=689,1783,66,69&page=2;; ※ et
̃ꝗ̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=752,1777,89,75&page=2;;※ quamquam
vocaliũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1268,1779,171,79&page=2;;※ vocalium
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1434,1786,59,61&page=2;; ※ et
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1211,1718,59,70&page=2;;※ pro
at;file:Zaborowski_Polona.djvu?djvuopts=&highlight=770,1654,103,86&page=2;;※ atque
habẽt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1043,1672,132,52&page=2;;※ habent
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1643,1656,48,66&page=2;;※ per
preſupponũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=459,1613,302,55&page=2;;※ presupponunt
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1675,1613,93,55&page=2;;※ non
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=791,1547,75,64&page=2;; ※ et
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1318,1490,59,64&page=2;;※ tamen
ꝗbus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1566,1481,118,71&page=2;;※ quibus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1416,1438,48,57&page=2;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=452,1386,84,57&page=2;; ※ et
quantũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=902,1370,168,59&page=2;;※ quantum
denotet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1341,1375,173,63&page=2;;※ denotetur
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1686,1375,73,59&page=2;;※ cum
diõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=695,1243,228,79&page=2;;※ dictionibus
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1407,1247,102,73&page=2;;※ enim
ꝙ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,1243,61,68&page=2;;※ quod
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1632,1245,95,75&page=2;; ※ et
plerũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1370,1181,171,84&page=2;;※ plerumque
diiõis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1532,1193,182,66&page=2;;※ dictionis
exm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=757,1129,109,68&page=2;;※ exemplum
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1027,1131,55,59&page=2;; ※ id est
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1257,1127,84,59&page=2;; ※ id est
hęc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=464,1072,91,68&page=2;; ※ haec
ſrcibũtur;file:Zaborowski_Polona.djvu?djvuopts=&highlight=727,1068,223,63&page=2;;※ scribuntur
tn̄;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1095,1075,71,70&page=2;;※ tamen
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1157,1070,52,66&page=2;; ※ et
ſignificarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1195,1081,246,50&page=2;;※ significatum
ſignificatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=880,1016,238,68&page=2;;※ significatum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1293,1018,84,63&page=2;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=586,963,53,64&page=2;; ※ et
ſteterũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,956,179,71&page=2;;※ steterunt
huiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=902,952,107,73&page=2;;※ huius
ntĩ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=984,956,82,73&page=2;;※ nominativi
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1200,956,77,64&page=2;; ※ et
diﬅionũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1657,904,213,50&page=2;;※ dictionum
latinarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=468,845,191,71&page=2;;※ latinarum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=773,841,91,70&page=2;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=957,836,73,66&page=2;; ※ et
multarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1032,832,193,65&page=2;;※ multarum
quarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1405,836,143,66&page=2;;※ quarum
eiſdẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1720,843,155,70&page=2;;※ eisdem
ſcribũtur;file:Zaborowski_Polona.djvu?djvuopts=&highlight=623,784,204,61&page=2;;※ scribuntur
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=977,775,55,70&page=2;;※ tamen
eorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1030,782,118,59&page=2;;※ eorum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1145,777,57,75&page=2;; ※ et
b?o℟;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1750,772,98,78&page=2;;※ borum
ꝗs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=784,704,71,84&page=2;;※ quis
4;file:Zaborowski_Polona.djvu?djvuopts=&highlight=382,2685,159,57&page=3;;※ strony B
multũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=382,2685,159,57&page=3;;※ multum
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1239,2690,100,66&page=3;;※ autem
diﬀerentiã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=352,2629,253,68&page=3;;※ differentiam
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1230,2640,70,54&page=3;; ※ et
gręca;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1464,2620,120,70&highlight=207,2574,52,57&page=3;; ※ graeca
quarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=420,2572,141,63&page=3;;※ quarum
rotundũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1191,2454,214,66&page=3;;※ rotundum
tantum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=234,2395,218,54&page=3;;※ tantumque
multiplicauerũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=441,2395,348,68&page=3;;※ multiplicauerunt
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1098,2397,82,57&page=3;; ※ et
ꝙ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=182,2317,77,64&page=3;;※ que
quadragenariũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=243,2340,334,55&page=3;;※ quadragenarium
numerũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=827,2340,198,59&page=3;;※ numerum
ꝓfeo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1155,2322,163,77&page=3;;※ profecto
ym̃o;file:Zaborowski_Polona.djvu?djvuopts=&highlight=448,2272,118,61&page=3;;※ ymmo
ſuꝑuitatis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=557,2281,263,55&page=3;;※ superfluitatis
at;file:Zaborowski_Polona.djvu?djvuopts=&highlight=798,2270,109,72&page=3;;※ atque
cõtinebat;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1057,2274,218,64&page=3;;※ continebat
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1364,2279,79,59&page=3;;※ autem
antiquoꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=359,2208,214,66&page=3;;※ antiquorum
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=568,2222,134,64&page=3;;※ huiusmodi
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=909,2211,118,70&page=3;;※ autem
at;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1139,2211,109,75&page=3;;※ atque
ſuꝑuis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1241,2222,175,66&page=3;;※ superfluijs
breuẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1430,2211,165,63&page=3;;※ breuem
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=186,2149,69,68&page=3;; ※ et
cõpendioſam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=273,2154,284,59&page=3;;※ compendiosam
dorinã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=927,2156,193,66&page=3;;※ doctrinam
relinquẽdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1450,2154,134,70&highlight=184,2095,168,59&page=3;;※ relinquendo
precipuũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,2099,203,66&page=3;;※ precipuum
obſeruandũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=868,2099,268,64&page=3;;※ obseruandum
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1273,2102,191,63&page=3;;※ litterarum
fignificatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=566,2040,239,62&page=3;;※ significatum
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=789,2042,91,55&page=3;;※ quod
hñt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1057,2042,102,60&page=3;;※ habent
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1155,2038,231,64&page=3;;※ dictionibus
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1448,2033,86,73&page=3;;※ enim
vſurpauimꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=330,1974,270,71&page=3;;※ vsurpauimus
accõmodauimꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=675,1990,343,48&page=3;;※ accomodauimus
om̃ino;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1300,1983,143,57&page=3;;※ omnino
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1439,1986,52,52&page=3;; ※ et
ꝓprĳs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=284,1920,157,66&page=3;;※ propriis
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=555,1917,63,73&page=3;; ※ et
ſignificatiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=614,1915,302,71&page=3;;※ significationibus
ſiꝉimodo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1264,1924,200,66&highlight=1293,1936,137,41&page=3;;※ simili modo
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1461,1927,57,54&page=3;; ※ et
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1259,1847,64,70&page=3;;※ per
om̃ia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1291,1868,129,49&page=3;;※ omnia
feruet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1432,1854,157,79&page=3;;※ seruetur
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=334,1797,75,73&page=3;; ※ et
ſignificatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=398,1799,222,69&page=3;;※ significatum
ꝓprium;file:Zaborowski_Polona.djvu?djvuopts=&highlight=627,1795,184,61&page=3;;※ proprium
latinarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=820,1808,173,62&page=3;;※ latinarum
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1002,1804,175,61&page=3;;※ latinarum
earũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=566,1745,127,63&page=3;;※ earum
tũc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=345,1688,75,70&page=3;;※ tunc
