B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
pũo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1148,2333,138,66&page=4;;※ puncto
dicit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1489,2315,95,84&page=4;;※ dicitur
idẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1098,2272,70,77&page=4;;※ idem
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1175,2267,91,87&page=4;;※ quod
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=811,2224,119,68&page=4;;※ durum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=925,2217,61,64&page=4;; ※ et
ſufficiũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1348,2147,197,77&page=4;;※ sufficiunt
reducunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1014,2106,204,57&page=4;;※ reducuntur
ꝓprio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=859,2031,155,80&page=4;;※ proprio
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=780,1992,56,69&page=4;;※ cum
cõſillabicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1082,1972,254,77&page=4;;※ consilabicum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1664,1967,66,78&page=4;; ※ et
eiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1730,1972,77,61&page=4;;※ eius
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=402,1933,143,62&page=4;;※ sonum
dic‍tiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=720,1927,232,56&page=4;;※ dictionibus
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=936,1927,71,59&page=4;;※ vero
nũ̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1441,1908,114,66&page=4;;※ nunquam
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=766,1863,141,68&page=4;;※ ponitur
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1145,1845,78,84&page=4;;※ quod
dr̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1466,1852,75,72&page=4;;※ dicitur
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1620,1845,75,50&page=4;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=489,1813,70,57&page=4;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=668,1813,89,55&page=4;; ※ et
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=732,1802,150,75&page=4;;※ huiusmodi
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1282,1783,54,80&page=4;;※ per
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1364,1793,47,75&page=4;; ※ et
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,1777,68,88&page=4;; ※ per
dñt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1684,1788,125,77&page=4;;※ debent
verũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=432,1752,120,61&page=4;;※ verum
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=577,1745,82,68&page=4;;※ cum
poſitũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=695,1736,150,77&page=4;;※ positum
aſpiratiõem;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1377,1731,271,68&page=4;;※ aspirationem
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=607,1693,52,70&page=4;; ※ id est
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=802,1690,89,55&page=4;;※ autem
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1007,1683,84,73&page=4;;※ non
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1073,1674,154,78&page=4;;※ ponatur
videat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1289,1674,170,82&page=4;;※ videatur
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=795,1622,60,66&page=4;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1111,1620,73,61&page=4;; ※ id est
tꝑus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1493,1606,89,68&page=4;;※ tempus
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=420,1572,50,59&page=4;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,1559,59,72&page=4;; ※ et
ſiꝉibns;file:Zaborowski_Polona.djvu?djvuopts=&highlight=711,1572,141,68&page=4; sic! ſiꝉibus;※ similibus
verũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1343,1559,127,56&page=4;;※ verum
vulgaribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1584,1556,214,66&page=4;;※ vulgaribus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=405,1522,75,57&page=4;; ※ et
ſimilibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=461,1518,219,68&page=4;;※ similibus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=986,1509,62,70&page=4;; ※ et
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1211,1502,130,57&page=4;;※ durum
aliarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1582,1490,132,75&page=4;;※ aliarum
durarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1714,1497,91,59&&highlight=439,1452,77,54page=4;;※ durarum
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=511,1449,205,69&page=4;;※ litterarum
põt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=707,1440,88,75&page=4;;※ potest
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=418,1381,82,82&page=4;;※ quod
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=939,1390,70,62&page=4;;※ vero
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1323,1381,68,66&page=4;; ※ id est
teloneũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1368,1381,189,50&page=4;;※ teloneum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1657,1375,70,59&page=4;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=680,1331,59,59&page=4;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=945,1315,57,80&page=4;; ※ id est
alienũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=982,1329,154,59&page=4;;※ alienum
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1257,1313,50,64&page=4;;※ pro
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=573,1270,45,73&page=4;; ※ et
ſiꝉibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=625,1279,155,64&page=4;;※ similibus
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=943,1263,68,77&page=4;;※ non
pũc‍to;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1491,1243,134,82&page=4;;※ puncto
ꝗa;file:Zaborowski_Polona.djvu?djvuopts=&highlight=418,1202,73,70&page=4;;※ quia
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=555,1213,134,64&page=4;;※ ponitur
ꝓpria;file:Zaborowski_Polona.djvu?djvuopts=&highlight=820,1197,132,68&page=4;;※ propria
ſignificatiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=941,1204,291,73&page=4;;※ significatione
aliũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1448,1197,111,66&page=4;;※ alium
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1680,1200,115,70&page=4;;※ sonum
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=395,1147,71,62&page=4;;※ qui
dicit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=605,1163,104,55&page=4;;※ dicitur
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1034,1134,50,72&page=4;;※ per
ſequẽte;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1109,1136,177,75&page=4;;※ sequente
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1316,1145,139,55&page=4;; ※ graeco
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,1095,56,73&page=4;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=966,1091,57,61&page=4;; ※ id est
templũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1005,1081,177,73&page=4;;※ templum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1361,1088,53,57&page=4;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1598,1063,50,82&page=4;; ※ et
põt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1211,1022,82,71&page=4;;※ potest
duobꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1573,1025,134,61&page=4;;※ duobus
pũc‍tis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=482,975,145,72&page=4;;※ punctis
ſcribat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1173,966,161,77&page=4;;※ scribatur
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1423,961,61,68&page=4;;※ cum
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1507,966,134,59&page=4;; ※ graeco
vtrũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1645,954,153,66&page=4;;※ vtrumque
primũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=698,909,145,77&page=4;;※ primum
dionẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1334,902,175,75&page=4;;※ dictionem
Polonicã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1509,893,207,70&page=4;;※ polonicam
habentẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1693,900,130,56&highlight=395,859,160,66&page=4;;※ habentem
ſequẽte;file:Zaborowski_Polona.djvu?djvuopts=&highlight=570,861,198,73&page=4;;※ sequente
cõtingat;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1173,838,191,80&page=4;;※ contingat
ſępenũero;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,795,252,80&page=4;8+2 Urbańczyk: sępenumero;※ saepenumero
ꝓprĳs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=993,788,155,55&page=4;;※ propriis
noĩbus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1136,788,171,64&page=4;;※ nominibus
tũc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1336,786,59,68&page=4;;※ tunc
neceſſariũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1398,786,225,64&page=4;;※ necessarium
&c.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1327,722,109,75&page=4;;※ etc.
idẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1416,725,98,75&page=4;;※ item
5;file:Zaborowski_Polona.djvu?djvuopts=&highlight=527,2679,168,72&page=5;;※ strony B
quacũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=527,2679,168,72&page=5;;※ quacumque
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=868,2665,157,77&page=5;;※ ponatur
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1152,2674,98,68&page=5;;※ autem
quemadmodſu;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1191,2599,309,75&page=5;;※ quemadmodum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1491,2606,102,68&page=5;; ※ et
vnũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1007,2492,98,66&page=5;;※ vnum
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1105,2488,152,66&page=5;;※ proprium
tã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1245,2497,64,52&page=5;;※ tam
̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1409,2474,86,77&page=5;;※ quam
dic‍tiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=350,2445,239,63&page=5;;※ dictionibus
cõem;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,2445,141,63&page=5;;※ communem
alteꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=727,2445,125,61&page=5;;※ alterum
impropriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=855,2435,250,62&page=5;;※ improprium
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1102,2422,53,70&page=5;;※ qui
tm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1136,2440,82,55&page=5;;※ tantum
dic‍tiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=357,2379,207,75&page=5;;※ dictionibus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,2381,66,64&page=5;; ※ et
mollẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=720,2390,148,50&page=5;;※ mollem
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=841,2381,79,68&page=5;; ※ et
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=909,2383,118,62&page=5;;※ durum
partit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1020,2379,144,59&page=5;;※ partitur
quẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1395,2372,87,59&page=5;;※ quem
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1136,2326,53,55&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1423,2313,47,59&page=5;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=475,2258,55,68&page=5;; ※ et
ſiꝉibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=527,2267,143,62&page=5;;※ similibus
Quidã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=686,2258,166,59&page=5;;※ Quidam
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=830,2254,90,72&page=5;;※ vero
talẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1095,2254,105,68&page=5;;※ talem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1202,2265,109,55&page=5;;※ sonum
ſuꝑaddito;file:Zaborowski_Polona.djvu?djvuopts=&highlight=930,2195,231,81&page=5;;※ superaddito
vñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1280,2199,88,57&page=5;;※ vnde
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=302,2149,62,55&page=5;; ※ et
ſiꝉia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=350,2149,109,64&page=5;;※ similia
ſcm;file:Zaborowski_Polona.djvu?djvuopts=&highlight=448,2133,122,89&page=5;;※ secundum
ſcribant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=177,2092,203,50&page=5;;※ scribantur
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=459,2072,46,77&page=5;; ※ per
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=859,2083,55,68&page=5;;※ tamen
tanꝗ̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=177,2017,123,78&page=5;;※ tamquam
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=573,2027,68,65&page=5;;※ autem
ſonꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,2024,109,71&page=5;;※ sonus
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1295,2013,155,70&page=5;Urbańczyk: ę; ※ greaco
põt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1057,1961,79,81&page=5;;※ potest
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1116,1947,64,75&page=5;;※ per
punis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1389,1947,184,68&page=5;;※ punctis
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=482,1915,200,68&page=5;;※ litterarum
ſignatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=875,1904,166,75&page=5;;※ signatum
quẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=655,1847,106,64&page=5;;※ quem
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=739,1854,86,63&page=5;;※ cum
cõſyllabicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1075,1845,243,63&page=5;;※ consyllabicum
dic‍tiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1505,1838,102,70&highlight=184,1795,189,63&page=5;;※ dictionibus
ditiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=832,1790,229,78&page=5;; ※ dictionibus
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=311,1727,71,75&page=5;; ※ id est
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=641,1738,66,57&page=5;; ※ id est
deũ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=698,1729,95,68&page=5;;※ deum
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=936,1729,59,61&page=5;; ※ id est
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=970,1729,75,68&page=5;;※ cum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1250,1727,55,56&page=5;;※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=182,1677,54,59&page=5;; ※ id est
gũno.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=327,1670,121,68&page=5;;※ gumno
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=441,1683,52,48&page=5;; ※ id est
horreũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=486,1674,162,69&page=5;;※ horreum
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=750,1672,73,61&page=5;; ※ id est
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1109,1665,91,64&page=5;;※ autem
ꝗbus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=395,1606,119,71&page=5;;※ quibus
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=532,1613,77,73&page=5;;※ cum
cõſyllabicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=716,1613,254,64&page=5;;※ consillabicum
cõfone;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1059,1604,155,79&page=5;;※ consone
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1239,1602,134,63&page=5;;※ ponitur
genꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1441,1602,145,66&page=5;;※ genus
gimnaſiũ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=175,1540,227,75&page=5;;※ gimnasium
&c̈.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=391,1559,100,63&page=5;;※ etc.
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=550,1552,86,70&page=5;;※ tamen
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=620,1561,75,68&page=5;;※ non
ſemꝑ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=695,1545,123,79&page=5;;※ semper
ieiuniũ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=920,1552,166,68&page=5;;※ ieiunium
&c̈.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1332,1540,100,71&page=5;; ※ etc.
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1518,1534,68,63&page=5;;※ per
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=298,1484,52,72&page=5;;※ per
cõſonam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=350,1486,209,77&page=5;;※ consonam
ſcribunt᷑.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=550,1481,198,75&page=5;;※ scribuntur
qñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=755,1495,97,68&page=5;;※ quando
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=857,1493,77,61&page=5;;※ autem
cõſone;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1093,1484,155,79&page=5;;※ consone
regulã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=425,1436,164,66&page=5;;※ regulam
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=570,1438,75,61&page=5;; ※ non
hñt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=641,1438,95,64&page=5;; ※ habent
legentiũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=814,1434,200,68&page=5;;※ legentium
diſcretiõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1009,1429,209,75&page=5;;※ discretioni
relinquũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1223,1418,204,81&page=5;sic;※ relinquunt
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=295,1375,75,61&page=5;;※ cum
conſyllabicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=489,1384,270,54&page=5;;※ consillabicum
nun̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,1372,141,73&page=5;;※ nunquam
fignificatiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1186,1368,264,75&page=5;;※ significatione
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1455,1368,109,54&page=5; Urbańczyk:que?;※ quae
cõﬀima;file:Zaborowski_Polona.djvu?djvuopts=&highlight=577,1320,184,61&page=5;;※ communissima
qñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=845,1322,80,66&page=5;;※ quando
cõſona;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1059,1318,184,47&page=5;;※ consona
igit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=270,1256,75,62&page=5;;※ igitur
vulgariũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=359,1261,180,61&page=5;;※ vulgarium
cõfuſio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=623,1254,168,68&page=5;;※ confusio
dic‍tionũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=775,1261,209,48&page=5;;※ dictionum
eiſdẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1048,1245,125,73&page=5;;※ eisdem
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1164,1247,154,75&page=5;;※ ponatur
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=166,1206,86,62&page=5;; ※ et
.i;file:Zaborowski_Polona.djvu?djvuopts=&highlight=548,1200,45,61&page=5;;※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=818,1200,50,59&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1027,1190,62,78&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1268,1193,57,61&page=5;; ※ id est
&c̈.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1377,1195,80,66&page=5;; ※ etc.
hęc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1470,1193,85,61&page=5;sic? ;※ haec
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=164,1134,100,63&page=5;;※ vero
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=573,1145,47,59&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=948,1127,59,79&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1243,1129,64,68&page=5;; ※ id est
auſ‍terꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1293,1138,162,50&page=5;;※ austerus
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=225,1086,66,59&page=5;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=341,1088,48,52&page=5;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1357,1079,54,61&page=5;; ※ et
duplicẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1032,1020,184,64&page=5;;※ duplicem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1343,1027,116,54&page=5;;※ sonum
vnũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1459,1016,114,63&page=5;;※ vnum
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=189,970,131,57&page=5;;※ proprium
quẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=330,963,90,59&page=5;;※ quem
dic‍tiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=814,972,202,59&page=5;;※ dictionibus
ſimiꝉr;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1105,956,131,69&page=5;;※ similiter
&c̈;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1464,952,102,59&page=5;; ※ etc.
vulgaribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=245,911,207,50&page=5;;※ vulgaribus
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=432,911,73,52&page=5;;※ vero
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=593,906,77,62&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=964,906,50,50&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1225,902,59,52&page=5;; ※ id est
ſoIiũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1275,902,111,54&page=5;;※ folium
vł';file:Zaborowski_Polona.djvu?djvuopts=&highlight=1389,891,45,81&page=5;;※ vel
epł'a.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1443,902,87,59&page=5;!!!;※ epistula
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=259,859,55,45&page=5;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=486,863,34,41&page=5;; ※ id est
ꝑcute;file:Zaborowski_Polona.djvu?djvuopts=&highlight=518,838,130,66&page=5;;※ percute
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=657,854,54,59&page=5;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=911,845,73,68&page=5;; ※ et
ꝓprius;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1239,836,163,61&page=5;;※ proprius
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1482,845,93,71&page=5;; ※ et
Alterũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=427,800,141,63&page=5;;※ Alterum
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=582,802,66,48&page=5;;※ autem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=641,779,127,75&page=5;;※ sonum
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=898,788,116,57&page=5;;※ durum
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1016,775,45,59&page=5;;※ qui
nun̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1059,777,159,66&page=5;;※ nunquam
inuenit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1375,788,180,64&page=5;;※ inuenitur
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1159,718,73,66&page=5;; ※ id est
6;file:Zaborowski_Polona.djvu?djvuopts=&highlight=411,2665,69,66&page=6;; ※ strony B
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=411,2665,69,66&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=709,2676,71,57&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=970,2674,66,61&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1173,2674,59,52&page=6;; ※ id est
